Sentence,Sentiment
Pizza Hut's Struggling Turnaround Weighs on Yum Brands Results,negative
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,negative
Mine Delays in China Are Buttressing Beleaguered Coal Bulls,negative
T-Mobile US stock down 1.4% premarket,negative
"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",neutral
AAP Free-falling Now to 457,negative
"Google Maps seeks business, transit reviews in new look as it turns 15",neutral
$HP - More Pain In Sight For Helmerich & Payne. Sign up for updates on Seeking Alpha! https://t.co/1ulAmlZQuO #markets #investing #trading,negative
"VMW testing its recent uptrend here, not real impressive as of late, SI now in bear country",negative
Hedge Funds Have Never Been This Bullish On LiqTech International Inc (LIQT),positive
Demonstrator contract for Franco-German fighter jet project expected by Jan,neutral
DNB ASA reports Q4 results,neutral
"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",positive
Finnish food industry companies HK Ruokatalo and Atria will form a joint venture company called L+Ã±nsi-Kalkkuna to produce turkey meat .,positive
GW  Higher volume on the way down as the news pumps the stock up doesn't sound very bullish to me.,negative
Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch .,neutral
"The paper industry 's de-inking sludge , which is produced in mills that use recycled fiber when printing ink is removed from recovered paper , is also a suitable raw material .",neutral
YHOO trying to break HOD,positive
GOOG and AMZN calls are on my watch list for a day trade.  Taking a break from AAP,positive
SocGen Pledges Higher Returns After Dropping Profit Target,neutral
"RT @WSJheard: After two accounting scandals in less than a week, the Chinese growth story is becoming a tougher sell on Wall Street, says @Ã¢â¬Â¦",negative
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral
"BAC when she loses the 50 day, the whole market goes imo...",negative
Amazon's Record 2019 in 7 Metrics,neutral
"Around 76,000 people were injured in the U.S. between 1998-2017 because of cell phone-related injuries https://t.co/u5FF9sIDSb",neutral
"user: GOOG put options at 8 year high, interesting",negative
3 Top Schwab Mutual Funds for 2020,neutral
AAP - 3 scenarios to watch ahead of Apple earnings and the resulting price action,negative
Intelsat lower after Morgan Stanley target cut,negative
Hedge Funds Have Never Been Less Bullish On Southwestern Energy Company (SWN),negative
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive
The SEC issued suspension orders for dental supplier No Borders Inc. and apparel maker Sandy Steele Unlimited Inc. https://t.co/eb0ZFlNgjl,negative
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive
user  AAP will make computers in S. The 1st line of tablets will be called the Pinto: They explodes if swiped from behind!,negative
"Here's to the million-dollar car that should have cost $5,000 the underloved Porsche 914 is the next big thing https://t.co/96rH0hVOQQ",neutral
$MYOV here we go !!,neutral
"Kept at home by the coronavirus, many Chinese fall behind on their debts https://t.co/QMNpSF4abe",negative
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,neutral
"I invested in MSFT, but I have more than a few words for Steve Ballmer",positive
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive
AAP sub 430 flew clicks away.. thx IBIG.. for those negative notes.. really appreciate it.,negative
AAP this is the best graph shows mode.. we are now in despair heading towards mean (500 ish IMHO),positive
"Lower oil prices typically boost global growth, but the recent decline to an 18-year low will likely provide less s https://t.co/flxCWZiS0Z",negative
"Should You Worry About AcelRx Pharmaceuticals, Inc.'s (NASDAQ:ACRX) CEO Salary Level?",neutral
Gulf Arabs Take Fitful Steps to End Qatar Rift as Iran Looms,neutral
"Hedge Funds Arent Done Buying Simulations Plus, Inc. (SLP)",positive
"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",positive
Stock Market Update: NAHB Housing Market Index ticks down in November,negative
"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",positive
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,neutral
"RT @lizrhoffman: Morgan Stanley profits down 30%, the least bad of big banks. But warns it might not meet those financial targets that itsÃ¢â¬Â¦",negative
AAP closed 1/2 of my positions and riding other half,negative
Timberrrr $TSLA https://t.co/MRBgfDHHVa,negative
HBAN breakout today,positive
"Steris EPS beats by $0.03, beats on revenue",positive
GMC 37 No Brainer - FEE CASH - Sell MOTIME - SOTP,negative
The value of the orders is about EUR 70mn .,neutral
Significant relationships will be noted in our corporate love register https://t.co/kSrQi6kd9v,neutral
Edited Transcript of MFA earnings conference call or presentation 6-Nov-19 3:00pm GMT,neutral
DK moving out of his Darvas box - keep an eye on volume.,positive
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",negative
"CAT Bingo, it is Bingo everywhere today.",positive
Can employers make female employees wear a bra? Ask HR,neutral
Bot AAP puts as this is a dead cat bounce. Free fall will continue into Friday.,negative
ArcelorMittal misses on revenue,negative
Asian traffic declined by 3.4 per cent .,neutral
Today's Watchlist for SHOT Stocks: MTG; ITMN; ANAC; OWW; DMND,negative
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,negative
"British Airways In Talks With Union To Suspend Around 32,000 Staff: Report
https://t.co/DJyN10xAmM",negative
"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",neutral
Cosmo Energy : FY2019 2Q Financial Results Explanatory Meeting -Q&A (PDF/297K)  #Stock #MarketScreener https://t.co/61ShLibmmQ,neutral
"Fed Chair Jerome Powell says  Low rates are not really a choice anymore, they are a fact of reality' https://t.co/IblPVbnP0s",neutral
$TSLA <STUDY the CHARTS> Pullback_Time https://t.co/ZMDG0fb3I7,negative
AT&T shares sink after MoffettNathanson downgrade,negative
fonr shares are up 50% since equities research upgrade and up 200% since stockdiagnsotics upgrade,positive
Olvi has posted a strong set of figures for the first six months of this year .,positive
Citi gives big boost to Deere PT,positive
"I get devices shtick, but still don't think DE deal helps MSFT at all in short- or medium-term.   via user",negative
"Apple saw China iPhone units fall in November, Credit Suisse says",negative
President Donald Trump continued his attacks on ousted U.S. Ambassador to Ukraine Marie Yovanovich and other witnes https://t.co/iS70j1CODY,neutral
"Exxon, Chevron results augur tough year ahead, shares drop 3% #economy #MarketScreener https://t.co/sABok0wweo https://t.co/BYDIfnQivg",negative
Live Ventures reports FY results,neutral
$WDC - Western Digital May Have Trouble Pushing Stock Price Higher. Subscribe to Seeking Alpha for more: https://t.co/dutJc7l7Hq,negative
HEK still waiting for the breakout above 4. 10ema is support down at 4.2.,positive
"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing .",neutral
"Employees can withdraw 75% of employee provident fund or three month salary whichever is lower, move will benefit 4â¦ https://t.co/AXRxRyd0L2",positive
"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",positive
"$AMRH (-8.7% pre) AMERI Holdings (AMRH) Announces 1-for-25 Reverse Stock Split to Regain Nasdaq Compliance

https://t.co/XP3DTVbbMM",negative
"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",positive
Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,negative
Milestones Expansion Continues; Opens Big Spring Facility in Northern Midland Basin,positive
"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",negative
Huawei initiates legal action against Verizon,negative
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,positive
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,neutral
CymaBat halts trial of seladelpar; shares dip 4%,negative
"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",positive
"SSYS covered some 68.65, 68.4 next tgt",negative
Jarvis Securities : Director's Interest #JarvisSecurities #Stock #MarketScreener https://t.co/JWKcET9MXw https://t.co/ma4z6I1Bxb,neutral
$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,positive
Recommending life insurance doesnt have to be complicated by conflicts of interest. Heres how financial advisors https://t.co/KvpaP27pDo,neutral
FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,positive
Airbus to pay $4 bln to settle corruption probe - French prosecutor #economy #MarketScreener https://t.co/yNFl0nOD6B https://t.co/Qko6XJCAwK,positive
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,neutral
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive
Lyft stock price target cut to $58 from $70 at Deutsche Bank,negative
CIT gets OCC approval for Mutual of Omaha Bank purchase,neutral
The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",positive
Shell and BG Shareholders to Vote on Deal at End of January,neutral
"The outlook for Finland's economy has dramatically worsened due to the coronavirus outbreak, with the country's cen https://t.co/RZBkoqrsm0",negative
Europe however remains an important and strong market for us .,neutral
The main strength of the cooperation project lies in merging the know-how of two large companies .,positive
Bigger is Better in Payments: Worldline Not Done With Deals,neutral
"Tieto offers Aktia a good foundation and the required support services for implementing the update project , ' says Juha Volotinen , responsible for Aktia 's web services .",positive
A Booming Corner of Private Credit Has Some Investors on Edge,negative
"SII Sold 1/4 position at 2.09 today..wanted to lighten up on stocks going into the uncertainty this week, its still my largest holding",positive
"So much topping action here. Shorting KEY at 8.90, Shorting CAT here at 95 with a stop at 95.6. ike these trades A OT.",negative
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",negative
"Mortgage REITs have one of the riskiest business models in real estate: they issue high-yield loans, and finance thÃ¢â¬Â¦ https://t.co/JyXdfWSrT6",negative
"53 Short Ideas,  led by miners, FCX NEM IAG CF PAAS, BID, & AAP eyeing 400. Many extended, but trade able.",negative
Ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions .,neutral
PCS - shhhhh,positive
I totally helped  beat revenues...i do and I do and I do ...but yoga bores me and western world will bore of it as well #doritos,negative
$PHUN news out !!!!,neutral
Claims for unemployment benefits surged again last week amid a drastic downshift in the labor market caused by theÃ¢â¬Â¦ https://t.co/QCnvOQU28Z,negative
user: AAP 2012 GOD & Quarterly histograms ED  #FT71 / 460 done....still work to be done below shared Jan 15,negative
"Trump Withholding $823 Million for Clean Energy, Democrats Say",neutral
"AAP Apple had 58 billion in current assets and 92 billion in long-term marketable securities,? mostly probably Treasury bills.",negative
SWKS ong Setup (Triggered):,positive
Penney's and Macy's and Martha  . .  . Oh my! : JCP M MSO APP KO,negative
"$OLLI - Ollie's Bargain Outlet EPS beats by $0.03, beats on revenue https://t.co/hgb3KCVBXc",positive
A railway strike is gripping Canadas $1.7 trillion economy https://t.co/eXeBOeMfyO,negative
Coronavirus fears raise market expectations for Fed rate cut in March https://t.co/Z33zqdljVu by @bcheungz https://t.co/XwHo1ZlMR2,neutral
Berkshire's Buffett loses top real estate agent to top rival,neutral
Stocks close lower after trade creates choppy session https://t.co/hPyxj3JKNg by @heidi_chung https://t.co/NKyMcIcpE2,negative
The rodeo clown sent BK screaming into the SI weekly red zone...time to peel away before it turns...,negative
"user IV having a down day today, but take a look at APO, 20 green days in a row since Dec 13th! Now, there's a rip and a tear!",positive
L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .,neutral
Emerging-economy central banks from India to Brazil still enjoy the firepower to shore up the global economy https://t.co/cTVUGNf4vM,neutral
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive
NKE looking good here for another run at those highs,positive
STZ Nice Bullish flag. Buy point is as the stock breaks over 47.82,positive
AMK a nice short below 3.99,negative
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive
Stock Market Update: Trade enthusiasm continues to wane,negative
$STMP - https://t.co/wOfhBECRjc Inc. 2019 Q3 - Results - Earnings Call Presentation. Get more updates here: https://t.co/goFXNQ6vEb,neutral
"OneWater's stock opens at $15.02, or 25% above $12 IPO price",positive
Modi Government Strangulating Kerala By Denying Funds: Thomas Isaac,neutral
Today's Watchlist for ONG Stocks: TIBX; HN; SNFCA; ECT; BBY; NIHD  #stocks #trading,positive
"Boeing's halt to 737 MAX production could ding U.S. economy, jobs",negative
CAT short idea,negative
"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",neutral
AAP appears to be dragging down QQQ and SPY #stockaction,negative
Karppinen expects the consolidation trend to continue in the Finnish market .,neutral
"From Slowdown To Lockdown: Auto Makers See Steep Fall In March Sales
https://t.co/aRCyZy3wL0",negative
LSC 's 30 employees will move to Ixonos with their existing status and benefits .,neutral
I was not pleased with the way that Navy Seal Eddie Gallaghers trial was handled by the Navy. He was treated very https://t.co/bFwiFKQi9e,neutral
oh GID poised to go higher. almost forgot this one.,positive
3 Big Reasons Investors Are Bailing on New Relic,negative
UPDATE 1-FDA declines to approve Adamis Pharma's Zimhi to treat opioid overdose,negative
"Record-Breaking ""Frozen 2"" Debut Propels Disney Past an Important Milestone",neutral
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,neutral
"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral
CompaniesAB InBev signals it won't go hostile for SABMiller,positive
Tyson stock slips after sales miss,negative
"PGIM Likes Barbell Trade in Credit, Buying AAAs & CCCs (Radio)",positive
New Residential Investment Corp. Announces Fourth Quarter and Full Year 2019 Results,neutral
Our superior customer centricity and expertise in digital services set us apart from our competitors .,positive
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral
Airbus will attempt to evacuate up to 873 people within 90 seconds .,neutral
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 .",negative
Trade Alert - Crude Oil Downside. Read more: https://t.co/oq1RDoKKvI #investing #stockmarket #trading,negative
Istanbul mulls Eurobond issue after banks balk at funding the city https://t.co/ZoZC6W91EV,neutral
what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,negative
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",positive
